title,company,salary,description,technologies
Full-stack програміст на Python (Strong Junior),Аптека АНЦ,29 000 грн,"Привіт! Лідер аптечного ринку, мережа «Аптека Низьких Цін», ШАР @, Копійка, Благодія, запрошує тебе в нашу сім'ю. Зараз наша мережа — це більше 1000 аптек. Ми перші роботизовані аптеки в Україні і на цьому не зупиняємося. Ми шукаємо людей, які вміють справляти враження і закохані в свою справу. Можливо, це саме ти? Необхідні знання та вміння:  
 Шукаємо Full Stack розробника python + javascript, готового реалізовувати весь цикл задачі: і back, і front-end. 
 Бажаний стек: python3, django, DRF, ms sql (або інші СУБД) По фронту використовуємо: javascript, jquery 
 Основна ціль посади: 
 Реалізація і back, і front-end частин задач. 
 Умови роботи: 
 Роботу в дружній команді результативних професіоналів; 
 Гідний рівень доходу (обговорюється при співбесіді); 
 Офіційне працевлаштування; 
 Довгострокові відносини і можливість професійного розвитку. 
 Стань частиною нашої сім'ї і відкрий свій потенціал! Ми дбаємо про своїх співробітників і хочемо надихати їх на нові досягнення, тому разом ми сильніше і успішніше! Сподіваємося на твій внесок в активність і справжню турботу про колег і клієнтів, відкритість і комунікабельність, відповідальність і винахідливість. Залишилися питання? Надсилай своє резюме, телефонуй  +38050 — 364 — 88 — 74 Показати телефон , або проходь співбесіду з нашим чат-ботом, скануй QR код або переходь за посиланнями:  https://cutt.ly/anchrbot  (Viber) або  https://t.me/anc_hr_bot  (Telegram).","JavaScript,SQL,Python,Комунікабельність,Відповідальність,jQuery,Django,Django Rest Framework,Робота в команді,MS SQL Server,Frontend-розробка"
Junior Python Developer,TraffGeek,16 000 грн,"TraffGeek шукає Junior Python Developer! Ми шукаємо Junior Python Developer, який хоче розвиватися в сфері розробки програмного забезпечення. Вакансія відкрита для всіх вне залежності від вашого віку, місця проживання, віри, статі, тощо. Наявність посилання до GitHub портфоліо дуже привітається! Обов’язки: 
 Виконувати технічні завдання клієнтів за погодженим дедлайном. 
 Створення Telegram ботів. 
 Створення додатків з Python (API endpoints, адміністративні панелі, CRM, тощо). 
 Вимоги: 
 Маєте досвід роботи з Django або Flask. 
 Маєте досвід роботи з Telegram API та відповідними бібліотеками: Telethon, Aiogram. 
 Вміння коректно логувати повідомлення та помилки додатку для подальшого дебаггінгу, досвід з logging бібліотекою. 
 Впевнено користуєтесь SQL: MySQL/PostgreSQL, SQLite, peewee. 
 Знайомі з Git, GitHub, Git Flow. 
 Ваш рівень англійської B1 або вище. 
 Вміння опрацьовувати фідбек. 
 Маєте бажання та можливість розвиватися як розробник. 
 Вміння працювати в команді, комунікабельність. 
 Ви ідеальний кандидат, якщо:  
 Вмієте стягувати вебсайти (web scraping). 
 Вміти деплоїти Python додатки на сервер. 
 Знайомі з Gunicorn. 
 Маєте досвід роботи з SSH, cURL, SFTP. 
 Досвід роботи з Linux (Ubuntu, CentOS). 
 Розумієте JavaScript на мінімальному рівні. 
 Маєте досвід роботи з Redis. 
 Маєте досвід у створенні ботів/скриптів для інших месенджерів/соц.мереж (Discord, Slack, Airtable, тощо). 
 Маєте досвід з Github Actions, Docker/Podman. 
 Умови: 
 Віддалена робота. 
 Графік роботи: понеділок-п'ятниця, 8 годин на добу, днівна зміна. 
 Перший місяць роботи випробувальний період, рівень компенсації 16000 грн. 
 Другий місяць роботи — компенсація 19 500 грн. 
 Після перших двох місяців роботи, зарплатня підвищується до 23000 грн. 
 Перегляд компенсації кожні півроку на суму 3500 грн. 
 10+ лікарняних на рік. 
 12+ відпускних на рік. 
 Державні вихідні. 
 Можливість кар'єрного росту та заробітку в майбутньому. 
 Приєднуйтеся до нашої дружної команди :)","Користувач ОС Linux,SQL,Git,GitHub,Python,Комунікабельність,Telegram API,Django,Flask"
Python Developer,PNN Soft,No information,"Requirements: 
 Bachelor’s or Master’s degree in Computer Science  
 We are looking for Full-Stack Python + JS/React development, ready to implement the entire cycle of tasks: both back and front-end  
 Commercial experience in development using the Python programming language 
 Experience with MySQL/PostgreSQL/MongoDB or other databases  
 Experience with hosting Git repositories (GitHub, GitLab, Bitbucket)  
 English — Intermediate level and above  
 Strong understanding of object-oriented programming and software development principles 
 Will be a plus: 
 Experience with Docker  
 Experience with Cloud technologies, Amazon Web Services (AWS), and Google Drive API 
 Experience working with programming languages (PHP, JS, Java, C/C++, C #) 
 Responsibilities: 
 Development and improvement of software products of both back and front-end parts of tasks  
 Promotion of new functional capabilities and upgrading of essential additions  
 Use of best practices for software development and testing, compliance with technical standards, and code quality requirements adopted by the project 
 Advantages: 
 Competitive salary 
 Opportunities for career growth in a successful and innovative IT company 
 Friendly and dynamic work environment 
 Corporate English 
 Conditions: 
 Full-time position 
 On-site or remote work options","Java,PHP,MySQL,Git,GitHub,GitLab,JavaScript,Python,C++,PostgreSQL,React,Відповідальність,MongoDB,Docker,Програмування,Знання принципів ООП,AWS,C#"
Intern Python developer,HYS Enterprise,No information,"Requirements: 
 Proficiency in Python3 programming language; 
 Understanding of basic software development concepts such as data structures, algorithms, and object-oriented programming; 
 Familiarity with version control systems, preferably Git; 
 Passionate about AI; 
 Good communication skills; 
 Upper-Intermediate English level; 
 Based in Ukraine (with the option for occasional office visits). 
 Candidates who do not meet the stated requirements might not be considered. Would be a plus: 
 Experience in creating native applications (tkinter, PyQt, etc.); 
 Experience with embedding models;  
 Experience with libraries such as crewAI, langchain, langgraph; 
 Understanding of how transformers work; 
 Experience working with Hugging Face, gsheet API. 
 About the project: Our tool helps non-technical specialists create AI agents in CrewAI for business tasks using the Google Sheets interface, bypassing direct coding work in CrewAI.  We offer: 
 Internship schedule: Monday to Friday, 10.00−19.00 
 Office-based / remote work; 
 No time trackers or other bureaucratic measures; 
 Practical experience on internal projects;  
 Networking with experienced professionals willing to share their knowledge and experience;  
 Opportunity to obtain a contract with HYS Enterprise as a Junior specialist. 
 Gifts for birthdays and professional holidays; 
 Interaction with experienced professionals willing to share their knowledge; 
 Participation in internal and external events, the opportunity to build or promote your own brand.","Git,Python,Комунікабельність,Програмування,Знання принципів ООП,PyQt,Tkinter"
Data Engineer,SpaceCrew Finance Company,No information,"Привіт, ми — команда ризиків групи компаній SpaceCrew Finance (https://www.spacecrew-finance.com/). Зараз в пошуках колеги, який стане частиною нашої дружньої команди. Шукаємо людину, яка всією душею любить свою справу, а також не боїться складних викликів. Трохи про нашу групу компаній SpaceCrew Finance:  Наша основна місія — робити гроші доступними. Для цього ми винайшли сучасні методи ідентифікації, верифікації, оцінки рівня ризику позичальника та створили унікальний сервіс, який зробив прорив на ринку мікрокредитування. 
 На FinTech-ринку з 2016 року — перший проєкт MyCredit; 
 За 18 місяців увійшли до ТОП-3 фінансових сервісів та e-commerce проєктів України; 
 2019 — Увійшли до рейтингу «ТОП-10 інвестицій на українському венчурному ринку» UVCA; 
 2020 — Запустили проєкт СlickCredit Україна; 
 2021 — Запустили проєкт OnCredit у Шрі-Ланці; 
 Наші переваги: 
 Власна розробка продукту: CRM для обслуговування клієнтів, Backend та Frontend розробка, розробка мобільних додатків; 
 Власна автоматизована Data Science Lab; 
 Фундамент нашого бізнесу — це команда. Ми всі друзі і говоримо на «ти», чуємо і поважаємо думку кожного; 
 Ми формуємо команду з людей, які розділяють наші цінності! Саме тому, нам так комфортно працювати разом. 
 Data Engineer/Python Developer в нашій команді буде займатися наступними завданнями: 
 Підтримкою сервісів машинного навчання на продакшені; 
 Розробкою та деплоєм нових сервісів; 
 Створенням ETL пайплайнів; 
 Створенням систем моніторингу та алертінгу. 
 Фільтром для цієї позиції буде: 
 2+ років досвіду з Python;  
 1+ рік досвіду на позиції Data Engineer;  
 Професійний досвід використання бібліотеки pandas;  
 Досвід з реляційними базами (MsSQL);  
 Досвід роботи з нереляційними базами (MongoDB);  
 Досвід з AirFlow. 
 Цілі та завдання на період випробувального терміну: 
 Вивчення продукту; 
 Інтеграція в команду та процеси; 
 Виконання у строк поставлених задач на достатньому рівні. 
 Як ми взаємодіємо з кандидатами: 1 етап: спілкування з рекрутером онлайн (близько 30 хвилин); 2 етап: спілкування з твоїм майбутнім керівником онлайн або особисто (близько 1 години). Як проходитиме твоя адаптація в SpaceCrew Finance: Наш HR зустріне тебе, вручить welcome box і познайомить з усією командою. Допоможе долучитися до всіх процесів і цінностей компанії, проведе мітинг з адаптації та буде підтримувати протягом усього періоду; За тобою буде закріплений баді, який полегшить твою адаптацію, буде відповідати на всі твої питання і допоможе швидко влитися в роботу. Чому саме SpaceCrew Finance? 
 У нас прозора система нарахування зарплат, ми сплачуємо всі податки і працевлаштовуємо з першого робочого дня; 
 Надаємо 24 дні відпустки, оплачуваний лікарняний, медичну страховку; 
 Гнучкий та гібридний графік роботи: ти зможеш самостійно планувати свій день і періодично працювати з дому; 
 Ми створили «пункт незламності « SpaceCrew Financ e » для своїх співробітників та їх рідних, у нас в офісі є генератори та Starlink! 
 У нас прекрасно налаштований цикл внутрішнього клієнта та ми регулярно збираємо зворотній зв’язок від співробітників; 
 Оплачуємо професійні курси та тренінги, також, у нас є внутрішній кадровий резерв.  
 Ми розвиваємо наших колег не тільки горизонтально, а й вертикально. 64% керівників — співробітники з кадрового резерву; 
 У нас багато традицій — корпоративи, тимбілдинги та тематичні заходи: День нутелли, День хот-дога, Масляна, Таємний Санта, День сну та інші. 
 В офісі є зони відпочинку, бібліотека та настільні ігри, а також кухня, де завжди є чим поласувати; 
 Ми компенсуємо заняття спортом; 
 У нас є корпоративна англійська, якою може займатися кожен охочий; 
 Та багато інших бонусів і плюшок, про які розкажемо тобі при особистому спілкуванні. Якщо наша вакансія тобі до душі — надсилай своє резюме — і ставай частиною нашої команди. Щоб дізнатися більше про SpaceCrew Finance  і відчути нашу атмосферу, переходь за посиланнями: https://www.instagram.com/spacecrew_team/","Python,MongoDB,pandas"
No information,,No information,No information,
Junior Python developer,"B and G, soft agency",15 000 – 20 000 грн,"Компанія «B and G, soft agency» шукає кандидата на посаду «Junior Python developer».  Це віддалена робота з можливістю гнучкого графіку.  Ми шукаємо людину з досвідом від 1 року, яка готова долучитися до нашої команди та розвивати свої навички у програмуванні на Python. Ми відкриті для кандидатів без освіти, але з відповідним досвідом у сфері програмування.  Головні вимоги: 
 розуміння основ Python,  
 бажання вчитися та розвиватися у цій сфері,  
 вміння працювати в команді.  
 Якщо ви шукаєте можливість почати кар'єру в IT галузі та розвиватися разом з нами, надсилайте свої резюме! Web3 буде плюсом","Python,Робота в команді,Програмування,Бажання вчитися і розвиватися,Flask,FastAPI,PostgreSQL,Selenium"
Python developer (Trainee,Appexoft,No information,"About company: Appexoft is Software Development Company that provides a full range of top-quality IT services. Our mission is to develop first-class applications and Websites to provide our clients with the best solutions for maximizing their profits and converting their ideas into reality. Requirements: 
 Development experience in the Python programming language; 
 Knowledge of frameworks such as Django, DRF 
 Understanding of the basic principles of object-oriented programming; 
 Database skills such as MySQL, PostgreSQL 
 Experience with version control systems such as Git; 
 Ability to work in a team; 
 We offer: 
 Interesting and challenging projects. 
 Vast opportunities for professional development. 
 Competitive salary. 
 Delicious coffee biscuits and tea for your good mood. 
 Friendly team of professionals. 
 Comfortable working environment.","MySQL,Git,Python,PostgreSQL,Django,Django Rest Framework,Програмування,Знання принципів ООП"
Junior,Інсайдери,No information,"About the vacavncy:   We are a young and rapidly growing company with more than 100 dedicated and highly skilled developers of various levels. As this opportunity requires working from our office, it is open exclusively to Lviv residents. To apply for this position, you will need to prepare for a technical interview to demonstrate your capabilities, skills, and knowledge.  What we expect from the candidate:   
 Experience in development using the Python programming language is required. 
 Knowledge of frameworks such as Django and DRF is necessary. 
 Understanding of the fundamental principles of object-oriented programming is essential. 
 Proficiency in working with databases such as MySQL and PostgreSQL is important. 
 Experience with version control systems like Git is mandatory. 
 The candidate must demonstrate seriousness and the ability to collaborate effectively both in a team and independently. 
 What we offer:   
 Convenient work schedule. 
 Company-provided equipment. 
 Friendly office atmosphere designed for comfortable work. 
 Official employment with a competitive salary, taking into account your skills and experience. 
 Support from an experienced team of developers and managers. 
 Exciting projects for you to participate in.  Feel free to contact us now; this could be the beginning of our collaboration! We will respond promptly upon receiving your resume.","MySQL,Git,Python,PostgreSQL,Django,Django Rest Framework,Робота в команді,Програмування,Знання принципів ООП"
Python Developer (Mid-Level,Piche Ltd,63 500 – 98 000 грн,"About Us At PICHE, we are at the forefront of engineering and technological innovation in the construction and structural engineering sector.  We specialize in developing cutting-edge automation tools and software solutions to streamline building design and engineering processes. Our team is dedicated to pushing the boundaries of what’s possible, turning complex engineering challenges into automated solutions. The Role We’re looking for a passionate and skilled  mid-level Python Developer  with a background in engineering and a 3D aptitude to join our dynamic team. The successful candidate will play a crucial role in developing and enhancing building design tools and RFEM (Finite Element Method software) plugins. This position offers a unique opportunity to contribute to groundbreaking projects that shape the future of structural engineering. Key Responsibilities 
 Develop and maintain Python-based applications and tools for building design and structural analysis, with a focus on 3D aptitude. 
 Collaborate with the development team to create RFEM plugins to enhance engineering workflows. 
 Engage in all phases of software development, including planning, design, development, testing, deployment, and maintenance. 
 Work closely with structural engineers to understand their needs and translate them into efficient software solutions. 
 Continuously improve and optimize existing tools for better performance and user experience. Participate in code reviews, ensuring adherence to industry best practices and company coding standards. 
 Upkeep of current solutions, ensuring they remain functional and up-to-date. 
 Requirements 
 Bachelor’s degree in computer science, Engineering, or a related field. 
 3+ years of professional experience in Python development. 
 Strong understanding of object-oriented programming and software development principles. 
 Experience with GUI development and the ability to create user-friendly interfaces. Familiarity with software development methodologies (Agile, Scrum, etc.). 
 Knowledge of finite element analysis or structural engineering is an advantage but not a requirement. 
 Excellent problem-solving skills and the ability to work independently or as part of a team. 
 Strong communication skills, both written and verbal, with the ability to collaborate effectively across disciplines. 
 WE’RE HAPPY TO PROVIDE YOU WITH: 
 Salary  1500 — 2300 EUR gross . 
 Fully remote  work opportunities. 
 Breathtaking  challenges , where everything is possible. 
 Great attitude  from colleagues and creative management.","Python,Scrum,Agile,Communicability,Responsibility,Programming,Knowledge of OOP principles,Discipline,Engineering"
AQA Engineer (Python,Quintagroup,No information,"Quintagroup is a company of professionals that provides consulting, programming, and support services to organizations interested in deploying web-based solutions on the cloud. We are looking for a talented AQA Engineer (Python, Playwright) The AQA specialist will be able to participate in the development of data analytics platform where quality is essential.  Required: 
 Python 
 Playwright 
 Spoken English 
 Automated testing 
 Will be a plus 
 Git 
 Robot Framework 
 Selenium 
 Experience in automation of external and internal testing 
 Experience in testing web applications GUI, API 
 Projects details. Technology stack:  
 Backend:  Python . Django, AWS 
 Frontent: React,  Next.js 
 AQA: Playwright, Python 
 We offer : 
 opportunities for career and professional growth; 
 Friendly atmosphere and good working conditions; 
 Regular team-buildings and corporate parties; 
 Competitive salary and bonuses; 
 Official employment; 
 In-office English classes; 
 Flexible working hours;","Git,JavaScript,Python,React,Django,Selenium,Програмування,AWS,Playwright"
Python Developer (Mid. Level,Piche Ltd,76 000 – 125 000 грн,"At PICHE, we are at the forefront of engineering and technological innovation in the construction and structural engineering sector.  We specialize in developing cutting-edge automation tools and software solutions to streamline building design and engineering processes. Our team is dedicated to pushing the boundaries of what’s possible, turning complex engineering challenges into automated solutions. The Role We’re looking for a strong mid to senior level Python Developer with 5+ years of experience, who is also proficient in RabbitMQ, and experienced in Service Oriented Architecture (Rest, Micro-services, etc.). Knowledge of C# is desired, along with a 3D aptitude and an engineering background. The successful candidate will play a pivotal role in technical leadership, implementing software development processes, and transforming our existing fragmented landscape into a unified Architecture. Additionally, they will be responsible for the upkeep of current solutions. Key Responsibilities 
 Serve as a technical lead, guiding the team in architectural decisions and best practices. 
 Implement software development processes, ensuring efficiency and quality throughout the development lifecycle. 
 Lead efforts to transform our existing fragmented landscape into a united Architecture, fostering cohesion and scalability. 
 Maintain and update current solutions, ensuring they remain functional and aligned with evolving requirements. 
 Additional Responsibilities 
 Develop and maintain Python-based applications and tools for building design and structural analysis. 
 Collaborate with the development team to create RFEM plugins to enhance engineering workflows. 
 Engage in all phases of software development, including planning, design, development, testing, deployment, and maintenance. 
 Work closely with structural engineers to understand their needs and translate them into efficient software solutions. 
 Continuously improve and optimize existing tools for better performance and user experience. 
 Participate in code reviews, ensuring adherence to industry best practices and company coding standards. 
 Requirements 
 Bachelor’s degree in computer science, Engineering, or a related field. 
 5+ years of professional experience in Python development. 
 Strong understanding of object-oriented programming and software development principles. 
 Experience with RabbitMQ and Service Oriented Architecture (Rest, Micro-services, etc.). 
 Familiarity with C# is desired. 
 Strong 3D aptitude and an engineering background are desired. 
 Excellent problem-solving skills and the ability to work independently or as part of a team. 
 Strong communication skills, both written and verbal, with the ability to collaborate effectively across disciplines. 
 WE’RE HAPPY TO PROVIDE YOU WITH: 
 Salary  1800 — 3000 EUR gross . 
 Fully remote  work opportunities. 
 Breathtaking  challenges , where everything is possible. 
 Great attitude  from colleagues and creative management. 
 This position offers a unique opportunity to contribute to groundbreaking projects that shape the future of structural engineering. If you’re passionate about pushing the boundaries of technology in the construction industry, we want to hear from you!","Python,C#,Communicability,Responsibility,REST,Programming,Knowledge of OOP principles,RabbitMQ,Discipline"
Python-программист,Okumy,No information,"Проекту Okumy на полную занятость в команду необходим программист со знанием Python.  Технологии, которые необходимо применять: 
 Python 
 Flask или Django, aiohttp будет плюсом 
 SQLAlchemy 
 Postgres и хорошее знание SQL 
 Базовые знания веб технологий HTML, HTTP, работа браузера и протоколов 
 Базовые знания верстки, HTML и JS в объеме простого интерактива (проверка форм, отправка AJAX запросов)  
 Git, gitfow 
 Linux на уровне пользователя 
 Желательно знать или плюс:  
 Фронтенд фреймворки 
 Docker 
 Понимание работы CI/CD 
 Требования:  
 Умение управлять своим временем и взрослый подход к срокам.  
 Внимание к деталям. 
 Условия работы: 
 Небольшая удаленная и распределенная команда 
 Размер зарплаты по результатам собеседования","Пользователь ОС Linux,HTML,SQL,Git,JavaScript,Python,PostgreSQL,Docker,Django,HTTP,Программирование,Flask,SQLAlchemy,Aiohttp,CI/CD"
Intern/trainee analytic programmer (DAX,Business Research Group,No information,"Потреба:   Наймемо технічного помічника в науковому актуарно-статистичному проекті для програмування на DAX, M, VBA, SAS, R, Python та суміжних функцій. Бажано студента. Оплата  погодинна залежно від рівня. Пересилаємо через Вестерн Юніон. Погодинний облік ведете в гугл-шит файлі, щодня відзначаючи зроблені завдання. Вимоги  до кандидата: 
 Мати довготривалу кар'єрну орієнтацію на аналітичне програмування чи споріднені галузі, такі як статистика, актуарні науки, аналіз даних чи машинне навчання. 
 Знати хоча б одну з мов — DAX, M, VBA, SAS, R, Python. 
 Освіта або поточне навчання в одній із дисциплін: математики, статистики, актуарних чи комп’ютерних наук. 
 Базовий рівень англійської мови. 
 Мати швидкий інтернет, бути доступним по емейлу, скайпу, телеграму, вайберу, вотсапу. 
 Мати для роботи кілька годин на день для скайп сесій та домашніх завдань. 
 Обов’язки  за наймом: 
 Виходити на щоденні скайп сесії. 
 Проводити задані дослідження та писати код. 
 Допомагати у попутних тимчасових та рутинних задачах. 
 Заповнювати файл обліку годин на гугл драйві. 
 Розглядаються  заявки , в яких зазначено: 
 Ім'я, прізвище, місто 
 Телефон, імейл, скайп. 
 Резюме 
 Фото (необов'язково). 
 Досвід у DAX, M, VBA, SAS, R, Python. 
 Освіта чи поточне навчання. 
 Скільки годин на тиждень ви можете приділити роботі. 
 Нинішня форма діяльності (робота, навчання…). 
 Рівень англійської мови (не критично).",
Python Developer,Ronis Commerce OÜ,No information,"Наша компанія знаходиться в пошуку колеги —  Python-розробника  для участі в цікавих закордонних веб-проектах. Основні  завдання , які виконуватиме розробник у нашій компанії: 
 розробка веб-додатків для управління інтернет магазинами 
 інтеграція зі сторонніми сервісами з API 
 розробка баз даних 
 написання додатків для аналізу та обробки даних 
 Основні вимоги до вакансії: 
 досвід роботи на аналогічній позиції від 1,5 років 
 досвід участі у розробці навантажених web-проектів 
 розуміння основних принципів роботи HTTP та RESTful APIs 
 досвід роботи з MySQL/PostgreSQL, Docker, Git 
 вміння писати зрозумілий код 
 вміння розумітися на чужому коді 
 досвід роботи в командному рядку Linux 
 англійська, достатня для читання документації 
 вміння працювати в команді 
 знання інших технологій та мов (PHP, Javascript) буде плюсом 
 Зі свого боку ми пропонуємо: 
 віддалений формат роботи 
 гідну та своєчасну заробітну плату, що переглядається за результатами роботи 
 цікавий та масштабний проект 
 допомогу на всіх етапах нашої співпраці 
 роботу в компанії, що стабільно розвивається 
 натхнену команду професіоналів 
 підтримку компанії у професійному розвитку. 
 RONIS це: 
 одна з провідних компаній з розвитку електронної комерції 
 компанія, що успішно розробила та просуває власний продукт 
 сильна команда, що активно зростає.","Користувач ОС Linux,JavaScript,PHP,MySQL,Git,Python,PostgreSQL,Docker,Робота в команді,HTTP,REST API,Розробка API"
Python-программист,"Ливемарк, ТОВ",8 000 – 15 000 грн,"Наша компания занимается разработкой и сопровождением программных продуктов, которые используются в сфере транспорт  Для усиления отдела разработки мы ищем программистов: Требования :  
 уверенные знания Python (back-end, front-end) 
 Знание Базы данных: PostgreSQL, MySQL 
 работа с: Django, Flask SQLAlchemy, psycopg2; threading, asyncio, aiohttp, pandas 
 умение разбираться в аппаратной части устройств под которых идет разработка ПО  
 умение читать «мануалы» к новым библиотекам и осваивать различные специализированные Frameworks 
 Желательны навыки работы с JavaScript, telebot, aiogram  
 Условия работы : официальное трудоустройство Рабочий день: с 9−00 до 18−00 (+ перерыв) работа в офисе в дружной команде","JavaScript,MySQL,Python,PostgreSQL,Django,Робота в команді,Програмування,Робота з базою даних,Flask,pandas,SQLAlchemy,asyncio,Threads,aiogram,Aiohttp,Threading"
Python developer (з навчанням),Pixel Lab,26 000 – 31 000 грн,"Шукаємо Trainee Junior Python Java Direct IT Web Developer з можливістю навчання.  Що ви будете робити: 
 Розробка веб-додатків на Python та Java 
 Вивчення нових технологій та інструментів розробки  
 Підтримка та вдосконалення існуючих веб-проектів  
 Що ми чекаємо від тебе:   
 Розуміння основ веб-розробки  
 Комунікабельність 
 Готовність до навчання та професійного росту  
 Вміння працювати в команді та самостійно  
 Ми пропонуємо: 
 Можливість отримати цінний досвід у сфері програмування  
 Навчання та підтримку від досвідчених спеціалістів  
 Кар'єрний ріст та можливості для самореалізації  
 Графік роботи 5/2 з 9:00 до 18:00 
 Дружню атмосферу в колективі  Не дистанційно.   
 Якщо ви мрієте про кар'єру в ІТ і готові навчатися та розвиватися, надішліть своє резюме сьогодні!","Java,Python,Комунікабельність,Програмування"
Senior/Tech Lead Python developer,"Lean Geeks, LLC",98 000 – 150 000 грн,"Мы — продуктовая команда, не занимаемся версткой и лендингами, а разрабатываем и поддерживаем SAAS-решения. Делаем это качественно, занимаемся не только добавлением фич, но и «внутренним качеством»: продумываем архитектуру решений, не забываем про ревью кода, и отдачу техдолга. Стараемся увеличивать стабильность и простоту поддержки наших решений, на всех проектах тратим время в том числе на это, а не только на бизнесовые фичи. Берём в работу не все проекты подряд, а только те, что нам интересны. Мы действительно работаем как команда: поддерживаем друг друга, и помогаем развиваться. Минимизируем формальные правила — каждый работает так, как ему удобно, но учитывая интересы тех коллег, с которыми есть общие активности. Для нас в приоритете здоровая атмосфера в команде, профессиональное развитие, общение и взаимопомощь. Мы против «галер» и тому подобного. Старательно поддерживаем ⚠️butthead-free environment⚠️, не только внутри команды, но и среди клиентов. Если Вам интересен дружный коллектив — милости просим! Один из наших клиентов — компания  XAgency , которая разрабатывает решения для бизнеса на базе AI. Над их проектами сейчас работает команда из 5 python-разработчиков. На общем созвоне члены команды решили, что задачи, которые перед нами ставятся требуют больше знаний и опыта, чем у нас есть, и нужно искать лида по направлению Python, который поможет нам с архитектурными решениями. Обязательные требования: 
 Глубокое понимание принципов архитектуры приложений, включая не только веб-приложения, но и другие типы приложений.  Навыки анализа работы команды и выявления ошибок являются ключевыми. 
 Значительный опыт разработки систем на языке Python, превосходящий рамки создания простых веб-сайтов. 
 Продвинутые знания Python-веб-фреймворков, Django REST (нужно знать DRF, но основной объём задач — за рамками Django) 
 Понимание работы серверов, опыт их настройки и поддержания (хотя бы на пет проектах) 
 Отличное владение английским языком как профессиональным инструментом общения. 
 Будет круто, если ещё есть: 
 Опыт работы с микросервисной архитектурой, и типичным для неё тулингом (API gateway, tracing, etc.) 
 Понимание разработки приложений с использованием LLM (API OpenAI, Langchain и другие) 
 Реальный опыт с LLM (пусть даже хобби-проекты) 
 Наш технологический стек (просто для информации): 
 Laravel/Symfony/NestJS/Golang/Python — для бэкендов 
 React + NextJS + Ant Design для web-фронтенда 
 Flutter для мобильных приложений 
 Python — для продуктов, использующих LangChain 
 Компенсация: 
 Вилка ЗП: $2500.$4000 
 4 недели оплачиваемого отпуска в год 
 оплачиваемые больничные без справок 
 оплачиваемые праздники, включая новогодние каникулы 
 переработки считаем плохой практикой, но учитываем и оплачиваем их х1.5 
 Необходимо заполнить и отправить гугл-форму : Форма содержит интересующие нас вопросы, а также небольшое техническое задание.  https://forms.gle/NRUd54TS8kYcVUKK9","Python,Django,Django Rest Framework,REST,OpenAI"
Strong junior,"Легал Солюшнз, юридическая компания",15 000 – 35 000 грн,"Юридична компанія «Legal Solutions», що спеціалізується на обслуговуванні бізнесу в Україні та по всьому світі, шукає в свою команду python-розробника для роботи над внутрішніми проектами з автоматизації. Вимоги до кандидата: 
 Досвід у розробці програмних продуктів на Python не менше 1 року. 
 Знання і вміння працювати з різноманітними фреймворками та бібліотеками Python. 
 Вміння працювати з чат-ботами та парсерами буде перевагою. 
 Уважність до деталей та високий рівень пунктуальності. 
 Основні обов’язки: 
 Розробка та підтримка програмних продуктів на Python. 
 Реалізація функціоналу чат-ботів, парсерів та інших програм на основі специфікацій. 
 Внесення коректив у вже існуючі проекти. 
 Активна участь у процесі тестування та оптимізації програмного коду. 
 Ми пропонуємо: 
 Стабільність як в зп, так і в воркфлоу. 
 Гнучкий графік роботи. 
 Можливість працювати в комфортному офісному середовищі або віддалено. 
 Конкурентну заробітну плату, яка виплачується своєчасно. 
 Якщо ви готові приєднатися до нашої команди та віддати перевагу розвитку в сфері IT, надсилайте своє резюме з портфоліо та зарплатними очікуваннями нам на електронну адресу [ відгукнутися ]. Наша команда з нетерпінням чекає на вашу кандидатуру!","Python,Робота в команді,Пунктуальність,Уважність"
